gene_id	biotype	product
WBGene00231036	protein_coding	Zinc finger, C2H2 type family protein
WBGene00221734	protein_coding	NA
WBGene00231037	protein_coding	NA
WBGene00228846	protein_coding	FLYWCH zinc finger domain containing protein
WBGene00220469	protein_coding	NA
WBGene00221338	protein_coding	Hypothetical glycine receptor like protein T20B12.9 in chromosome III, putative
WBGene00222369	protein_coding	WD domain containing protein
WBGene00228126	protein_coding	NA
WBGene00268226	protein_coding	NA
WBGene00223454	protein_coding	NA
WBGene00221255	protein_coding	WH2 motif family protein
WBGene00230994	protein_coding	NA
WBGene00230995	protein_coding	NA
WBGene00268227	protein_coding	NA
WBGene00268228	protein_coding	NA
WBGene00268229	protein_coding	NA
WBGene00268230	protein_coding	NA
WBGene00268231	protein_coding	NA
WBGene00221360	protein_coding	NA
WBGene00268232	protein_coding	NA
WBGene00268233	protein_coding	NA
WBGene00222958	protein_coding	endonuclease G, mitochondrial precursor, putative
WBGene00222366	protein_coding	NA
WBGene00268234	protein_coding	NA
WBGene00228800	protein_coding	NA
WBGene00234765	tRNA	NA
WBGene00228799	protein_coding	fis1-related protein, putative
WBGene00228798	protein_coding	NA
WBGene00221851	protein_coding	NA
WBGene00233879	protein_coding	NA
WBGene00268235	protein_coding	NA
WBGene00222975	protein_coding	conserved hypothetical protein,hypothetical protein
WBGene00226126	protein_coding	NA
WBGene00268237	protein_coding	NA
WBGene00227227	protein_coding	NA
WBGene00269276	protein_coding	NA
WBGene00228125	protein_coding	NA
WBGene00220309	pseudogene	NA
WBGene00224436	protein_coding	NA
WBGene00226798	protein_coding	SET domain containing protein
WBGene00233028	protein_coding	NA
WBGene00232593	protein_coding	RE18450p, putative
WBGene00227534	protein_coding	Pin1-type peptidyl-prolyl cis-trans isomerase, BmPin1
WBGene00223656	protein_coding	NA
WBGene00223367	protein_coding	Nematode cuticle collagen N-terminal domain containing protein
WBGene00268238	protein_coding	NA
WBGene00228662	protein_coding	Cuticle collagen 40, putative
WBGene00268239	protein_coding	NA
WBGene00221242	protein_coding	NA
WBGene00227082	protein_coding	polythreonine protein, putative
WBGene00225225	protein_coding	NA
WBGene00223343	protein_coding	MGC80188 protein, putative
WBGene00228522	protein_coding	cuticle collagen, putative
WBGene00235527	miRNA	NA
WBGene00235528	miRNA	NA
WBGene00225506	protein_coding	NA
WBGene00234279	protein_coding	Hypothetical 26.0 kDa protein in CYB5-LEU4 intergenic region, putative
WBGene00268240	protein_coding	NA
WBGene00231920	protein_coding	NA
WBGene00268241	protein_coding	NA
WBGene00268242	protein_coding	NA
WBGene00221200	protein_coding	NA
WBGene00220316	protein_coding	NA
WBGene00268243	protein_coding	NA
WBGene00269481	pseudogene	NA
WBGene00269482	pseudogene	NA
WBGene00268244	protein_coding	NA
WBGene00269483	pseudogene	NA
WBGene00269484	pseudogene	NA
WBGene00255647	miRNA	NA
WBGene00269485	pseudogene	NA
WBGene00269486	pseudogene	NA
WBGene00235823	snRNA	NA
WBGene00236369	snRNA	NA
WBGene00235445	rRNA	NA
WBGene00269487	pseudogene	NA
WBGene00234846	tRNA	NA
WBGene00234919	tRNA	NA
WBGene00235873	ncRNA	NA
WBGene00226787	protein_coding	TPR Domain containing protein
WBGene00224925	protein_coding	KE2 family protein
WBGene00227491	protein_coding	CG6766-PA, putative
WBGene00229942	protein_coding	NA
WBGene00227736	protein_coding	Adenylate and Guanylate cyclase catalytic domain containing protein
WBGene00224450	protein_coding	Zinc finger, ZZ type family protein
WBGene00234057	protein_coding	DNA polymerase delta catalytic subunit, putative
WBGene00221810	protein_coding	cDNA sequence BC018371, putative
WBGene00227701	protein_coding	NA
WBGene00234040	protein_coding	60S ribosomal protein L32 (RP49), putative
WBGene00223852	protein_coding	conserved hypothetical protein
WBGene00233994	protein_coding	translation elongation factor aEF-2, putative
WBGene00222888	protein_coding	signal peptide peptidase family protein
WBGene00223981	protein_coding	Probable DNA replication complex GINS protein PSF2, putative
WBGene00229652	protein_coding	NA
WBGene00229651	protein_coding	Bm-DAP-1 protein, identical
WBGene00222654	protein_coding	polybromodomain protein, identical
WBGene00229653	protein_coding	NA
WBGene00227131	protein_coding	Bm-MIF-1, identical
WBGene00229654	protein_coding	PWWP domain containing protein
WBGene00229655	protein_coding	Mitochondrial carrier protein
WBGene00229656	protein_coding	DnaJ protein, putative
WBGene00225376	protein_coding	Conserved hypothetical protein, putative
WBGene00224328	protein_coding	Pre-mrna cleavage factor, identical
WBGene00231470	protein_coding	DNA-directed RNA polymerase, beta subunit family protein
WBGene00222849	protein_coding	Heparan sulfate 2-O-sulfotransferase protein, putative
WBGene00226264	protein_coding	Pyridoxal-phosphate dependent enzyme family protein
WBGene00229657	protein_coding	conserved hypothetical protein
WBGene00227308	protein_coding	DnaJ domain containing protein
WBGene00227777	protein_coding	dCMP deaminase, putative
WBGene00235032	protein_coding	NA
WBGene00222614	protein_coding	NEFA-interacting nuclear protein NIP30, putative
WBGene00231729	protein_coding	NA
WBGene00227465	protein_coding	35-cyclic nucleotide phosphodiesterase family protein
WBGene00231002	protein_coding	NA
WBGene00224556	protein_coding	Thrombospondin type 1 domain containing protein
WBGene00234893	tRNA	NA
WBGene00231003	protein_coding	NA
WBGene00234892	tRNA	NA
WBGene00231006	protein_coding	NA
WBGene00226510	protein_coding	PRKD2 protein , putative
WBGene00231007	protein_coding	Sema domain containing protein
WBGene00220893	protein_coding	NA
WBGene00226586	protein_coding	Cuticle collagen 3A3, putative
WBGene00231009	protein_coding	Protein kinase domain containing protein
WBGene00227687	protein_coding	Glutaredoxin family protein
WBGene00226998	protein_coding	Cytochrome b5-like Heme\/Steroid binding domain containing protein
WBGene00231010	protein_coding	MBD3 protein, putative
WBGene00226114	protein_coding	Leucine Rich Repeat family protein
WBGene00231011	protein_coding	NA
WBGene00227376	protein_coding	WD and tetratricopeptide repeats protein 1, putative
WBGene00222379	protein_coding	Zinc finger, C2H2 type family protein
WBGene00226580	protein_coding	BC040823 protein, putative
WBGene00231012	protein_coding	NA
WBGene00231013	protein_coding	conserved hypothetical protein
WBGene00225279	protein_coding	Protein kinase domain containing protein
WBGene00269489	pseudogene	NA
WBGene00231014	protein_coding	NA
WBGene00231015	protein_coding	NA
WBGene00227001	protein_coding	NA
WBGene00269490	pseudogene	NA
WBGene00269491	pseudogene	NA
WBGene00231016	protein_coding	membrane protein,  ,putative
WBGene00269492	pseudogene	NA
WBGene00231017	protein_coding	NA
WBGene00269493	pseudogene	NA
WBGene00269494	pseudogene	NA
WBGene00233795	protein_coding	E239.9-1, putative
WBGene00268245	protein_coding	NA
WBGene00229844	protein_coding	14-3-3-like protein 2, putative
WBGene00268246	protein_coding	NA
WBGene00268247	protein_coding	NA
WBGene00229842	protein_coding	NA
WBGene00226068	protein_coding	NA
WBGene00235405	miRNA	NA
WBGene00220536	protein_coding	NA
WBGene00220537	protein_coding	NA
WBGene00220538	protein_coding	Serine\/threonine protein phosphatase PP1 isozyme 1, putative
WBGene00268248	protein_coding	NA
WBGene00229253	protein_coding	NA
WBGene00268249	protein_coding	NA
WBGene00229254	protein_coding	CHCH domain containing protein
WBGene00229255	protein_coding	Homeobox domain containing protein
WBGene00229256	protein_coding	NA
WBGene00229257	protein_coding	NA
WBGene00229258	snRNA	NA
WBGene00229259	protein_coding	NA
WBGene00268250	protein_coding	NA
WBGene00227602	protein_coding	Pou domain - N-terminal to homeobox domain containing protein
WBGene00230555	protein_coding	NA
WBGene00268252	protein_coding	NA
WBGene00229094	transposon_protein_coding	NA
WBGene00268253	protein_coding	NA
WBGene00268254	transposon_protein_coding	NA
WBGene00268255	protein_coding	NA
WBGene00231427	protein_coding	NA
WBGene00268256	protein_coding	NA
WBGene00230553	protein_coding	NA
WBGene00230552	protein_coding	merozoite surface protein 2, putative
WBGene00268257	transposon_protein_coding	NA
WBGene00224590	protein_coding	Phosphatidylcholine:ceramide cholinephosphotransferase 2, putative
WBGene00268258	protein_coding	NA
WBGene00269496	pseudogene	NA
WBGene00269497	pseudogene	NA
WBGene00269498	pseudogene	NA
WBGene00269500	pseudogene	NA
WBGene00269501	pseudogene	NA
WBGene00269502	pseudogene	NA
WBGene00269503	pseudogene	NA
WBGene00232501	protein_coding	NA
WBGene00269505	pseudogene	NA
WBGene00234761	tRNA	NA
WBGene00269506	pseudogene	NA
WBGene00269507	pseudogene	NA
WBGene00269508	pseudogene	NA
WBGene00269509	pseudogene	NA
WBGene00269510	pseudogene	NA
WBGene00269511	pseudogene	NA
WBGene00269512	pseudogene	NA
WBGene00268259	protein_coding	NA
WBGene00269513	pseudogene	NA
WBGene00269514	pseudogene	NA
WBGene00269515	pseudogene	NA
WBGene00269516	pseudogene	NA
WBGene00269517	pseudogene	NA
WBGene00269518	pseudogene	NA
WBGene00268260	protein_coding	NA
WBGene00269519	pseudogene	NA
WBGene00269520	pseudogene	NA
WBGene00268261	protein_coding	NA
WBGene00269521	pseudogene	NA
WBGene00269522	pseudogene	NA
WBGene00269523	pseudogene	NA
WBGene00269524	pseudogene	NA
WBGene00268262	protein_coding	NA
WBGene00269525	pseudogene	NA
WBGene00269526	pseudogene	NA
WBGene00269527	pseudogene	NA
WBGene00269528	pseudogene	NA
WBGene00268263	protein_coding	NA
WBGene00269529	pseudogene	NA
WBGene00269530	pseudogene	NA
WBGene00269531	pseudogene	NA
WBGene00269532	pseudogene	NA
WBGene00269533	pseudogene	NA
WBGene00269534	pseudogene	NA
WBGene00269535	pseudogene	NA
WBGene00269536	pseudogene	NA
WBGene00221866	protein_coding	NA
WBGene00268264	protein_coding	NA
WBGene00225529	protein_coding	Core-2\/I-Branching enzyme family protein
WBGene00269271	protein_coding	NA
WBGene00229530	protein_coding	DNA polymerase epsilon p17 subunit, putative
WBGene00229531	protein_coding	Prion-like-, putative
WBGene00268265	protein_coding	NA
WBGene00224426	protein_coding	MGC80520 protein, putative
WBGene00229532	protein_coding	conserved hypothetical protein
WBGene00304761	protein_coding	NA
WBGene00222892	protein_coding	KH domain containing protein
WBGene00229533	protein_coding	conserved hypothetical protein
WBGene00229534	protein_coding	Zinc finger, C2H2 type family protein
WBGene00269537	pseudogene	NA
WBGene00268266	transposon_protein_coding	NA
WBGene00268267	protein_coding	NA
WBGene00225203	protein_coding	Hypothetical 52.8 kDa protein in BUB1-HIP1 intergenic region, putative
WBGene00269267	protein_coding	NA
WBGene00235451	miRNA	NA
WBGene00229008	protein_coding	NA
WBGene00268268	protein_coding	NA
WBGene00268269	transposon_protein_coding	NA
WBGene00268270	transposon_protein_coding	NA
WBGene00268271	protein_coding	NA
WBGene00229230	protein_coding	KH domain containing protein
WBGene00220531	protein_coding	NA
WBGene00225415	protein_coding	NA
WBGene00220387	protein_coding	NA
WBGene00268272	protein_coding	NA
WBGene00269538	pseudogene	NA
WBGene00269539	pseudogene	NA
WBGene00269540	pseudogene	NA
WBGene00235956	ncRNA	NA
WBGene00269541	pseudogene	NA
WBGene00269542	pseudogene	NA
WBGene00268273	protein_coding	NA
WBGene00269543	pseudogene	NA
WBGene00269544	pseudogene	NA
WBGene00269545	pseudogene	NA
WBGene00269546	pseudogene	NA
WBGene00269547	pseudogene	NA
WBGene00233319	protein_coding	NA
WBGene00269548	pseudogene	NA
WBGene00269549	pseudogene	NA
WBGene00269550	pseudogene	NA
WBGene00225418	protein_coding	NADH dehydrogenase I, A subunit , putative
WBGene00225759	protein_coding	DNA mismatch repair protein mutS, putative
WBGene00269551	pseudogene	NA
WBGene00269552	pseudogene	NA
WBGene00269553	pseudogene	NA
WBGene00229635	protein_coding	NA
WBGene00269554	pseudogene	NA
WBGene00269555	pseudogene	NA
WBGene00269556	pseudogene	NA
WBGene00269557	pseudogene	NA
WBGene00269558	pseudogene	NA
WBGene00269559	pseudogene	NA
WBGene00269561	pseudogene	NA
WBGene00269562	pseudogene	NA
WBGene00269564	pseudogene	NA
WBGene00269563	pseudogene	NA
WBGene00269565	pseudogene	NA
WBGene00269566	pseudogene	NA
WBGene00269567	pseudogene	NA
WBGene00269568	pseudogene	NA
WBGene00269569	pseudogene	NA
WBGene00269570	pseudogene	NA
WBGene00269571	pseudogene	NA
WBGene00269572	pseudogene	NA
WBGene00269573	pseudogene	NA
WBGene00269574	pseudogene	NA
WBGene00269575	pseudogene	NA
WBGene00269576	pseudogene	NA
WBGene00269577	pseudogene	NA
WBGene00269578	pseudogene	NA
WBGene00221383	protein_coding	NA
WBGene00268274	protein_coding	NA
WBGene00268275	transposon_protein_coding	NA
WBGene00228675	protein_coding	NA
WBGene00228674	protein_coding	transcription factor dpl-1, putative
WBGene00228673	protein_coding	NA
WBGene00228672	protein_coding	NA
WBGene00233616	protein_coding	NA
WBGene00228668	protein_coding	NA
WBGene00268276	protein_coding	NA
WBGene00228669	protein_coding	NA
WBGene00224507	protein_coding	ubiquitin, putative
WBGene00228670	protein_coding	proto-oncogene tyrosine-protein kinase FER, putative
WBGene00228540	protein_coding	NA
WBGene00231362	protein_coding	NA
WBGene00228541	protein_coding	NA
WBGene00228542	protein_coding	60S ribosomal protein L10, putative
WBGene00236744	snoRNA	NA
WBGene00228543	protein_coding	NA
WBGene00221373	protein_coding	NA
WBGene00234593	protein_coding	NA
WBGene00268277	transposon_protein_coding	NA
WBGene00224234	protein_coding	Calcium binding EGF domain containing protein
WBGene00268278	protein_coding	NA
WBGene00268279	protein_coding	NA
WBGene00221639	protein_coding	NA
WBGene00230423	protein_coding	Protein kinase domain containing protein
WBGene00230422	protein_coding	karyopherin alpha, putative
WBGene00228549	protein_coding	conserved hypothetical protein
WBGene00269284	protein_coding	NA
WBGene00228550	protein_coding	NA
WBGene00222281	protein_coding	NA
WBGene00220389	protein_coding	NA
WBGene00228551	protein_coding	NA
WBGene00269285	protein_coding	NA
WBGene00229676	protein_coding	NA
WBGene00230293	protein_coding	NA
WBGene00229677	protein_coding	Hypothetical 90.8 kDa protein T05H10.7 in chromosome II, putative
WBGene00268280	protein_coding	NA
WBGene00268281	transposon_protein_coding	NA
WBGene00228229	protein_coding	NA
WBGene00228228	protein_coding	NA
WBGene00255658	miRNA	NA
WBGene00268282	protein_coding	NA
WBGene00268283	transposon_protein_coding	NA
WBGene00228037	protein_coding	NA
WBGene00269579	pseudogene	NA
WBGene00269580	pseudogene	NA
WBGene00269581	pseudogene	NA
WBGene00269582	pseudogene	NA
WBGene00269583	pseudogene	NA
WBGene00269584	pseudogene	NA
WBGene00269585	pseudogene	NA
WBGene00269586	pseudogene	NA
WBGene00269587	pseudogene	NA
WBGene00269588	pseudogene	NA
WBGene00269589	pseudogene	NA
WBGene00268284	protein_coding	NA
WBGene00269590	pseudogene	NA
WBGene00269591	pseudogene	NA
WBGene00236565	ncRNA	NA
WBGene00269592	pseudogene	NA
WBGene00269593	pseudogene	NA
WBGene00269594	pseudogene	NA
WBGene00269595	pseudogene	NA
WBGene00229037	protein_coding	conserved hypothetical protein
WBGene00233639	protein_coding	NA
WBGene00229038	protein_coding	polyadenylate-binding protein 4, putative
WBGene00229039	protein_coding	NA
WBGene00234931	protein_coding	NA
WBGene00220495	protein_coding	NA
WBGene00220496	protein_coding	NA
WBGene00229398	transposon_protein_coding	NA
WBGene00268285	protein_coding	NA
WBGene00229040	protein_coding	NA
WBGene00221424	protein_coding	NA
WBGene00268286	protein_coding	NA
WBGene00221425	protein_coding	NA
WBGene00229041	protein_coding	NA
WBGene00268287	protein_coding	NA
WBGene00221199	protein_coding	NA
WBGene00268288	protein_coding	NA
WBGene00221170	protein_coding	NA
WBGene00225414	protein_coding	NA
WBGene00268289	protein_coding	NA
WBGene00228556	protein_coding	PX domain containing protein
WBGene00222677	protein_coding	NA
WBGene00224932	protein_coding	NA
WBGene00269596	pseudogene	NA
WBGene00220321	protein_coding	NA
WBGene00228251	protein_coding	NA
WBGene00220633	protein_coding	NA
WBGene00235496	miRNA	NA
WBGene00229683	protein_coding	B-box type zinc-finger protein ncl-1, putative
WBGene00229684	protein_coding	NA
WBGene00229685	protein_coding	NA
WBGene00268290	protein_coding	NA
WBGene00222608	protein_coding	Ser\/Thr protein phosphatase family protein
WBGene00268291	protein_coding	NA
WBGene00225347	protein_coding	actin 1, putative
WBGene00268292	protein_coding	NA
WBGene00228785	protein_coding	actin 2, putative
WBGene00228359	protein_coding	Armadillo\/beta-catenin-like repeat family protein
WBGene00226602	protein_coding	60S ribosomal protein L7a, putative
WBGene00268293	protein_coding	NA
WBGene00269597	pseudogene	NA
WBGene00269598	pseudogene	NA
WBGene00269599	pseudogene	NA
WBGene00268294	protein_coding	NA
WBGene00269600	pseudogene	NA
WBGene00269602	pseudogene	NA
WBGene00269601	pseudogene	NA
WBGene00231019	protein_coding	NA
WBGene00269311	protein_coding	NA
WBGene00269603	pseudogene	NA
WBGene00268295	transposon_protein_coding	NA
WBGene00268296	protein_coding	NA
WBGene00268297	protein_coding	NA
WBGene00268298	protein_coding	NA
WBGene00235536	miRNA	NA
WBGene00220284	protein_coding	NA
WBGene00220288	protein_coding	NA
WBGene00220289	ncRNA	NA
WBGene00221211	protein_coding	NA
WBGene00228060	protein_coding	NA
WBGene00220294	protein_coding	NA
WBGene00268299	protein_coding	NA
WBGene00268300	protein_coding	NA
WBGene00230147	protein_coding	conserved hypothetical protein
WBGene00229613	protein_coding	NA
WBGene00255652	miRNA	NA
WBGene00229614	protein_coding	NA
WBGene00268304	protein_coding	NA
WBGene00268305	transposon_protein_coding	NA
WBGene00223565	protein_coding	Nuclear hormone receptor family member nhr-25, putative
WBGene00233607	protein_coding	NA
WBGene00269604	pseudogene	NA
WBGene00269605	pseudogene	NA
WBGene00269606	pseudogene	NA
WBGene00268306	protein_coding	NA
WBGene00269607	pseudogene	NA
WBGene00269608	pseudogene	NA
WBGene00234803	tRNA	NA
WBGene00269609	pseudogene	NA
WBGene00268307	protein_coding	NA
WBGene00269610	pseudogene	NA
WBGene00269611	pseudogene	NA
WBGene00269612	pseudogene	NA
WBGene00269613	pseudogene	NA
WBGene00269614	pseudogene	NA
WBGene00269615	pseudogene	NA
WBGene00221730	protein_coding	NA
WBGene00268308	protein_coding	NA
WBGene00269616	pseudogene	NA
WBGene00269617	pseudogene	NA
WBGene00269618	pseudogene	NA
WBGene00269619	pseudogene	NA
WBGene00231021	protein_coding	Zinc finger, C2H2 type family protein
WBGene00221239	protein_coding	NA
WBGene00268309	protein_coding	NA
WBGene00268310	protein_coding	NA
WBGene00229042	protein_coding	NA
WBGene00226171	protein_coding	NA
WBGene00234964	protein_coding	NA
WBGene00229043	protein_coding	NA
WBGene00233298	protein_coding	NA
WBGene00268311	protein_coding	NA
WBGene00221426	protein_coding	acetylcholine regulator unc-18, putative
WBGene00229044	protein_coding	NA
WBGene00230377	protein_coding	6330505F04Rik protein, putative
WBGene00268312	protein_coding	NA
WBGene00230378	protein_coding	SD04165p, putative
WBGene00268313	protein_coding	NA
WBGene00230380	protein_coding	Bromodomain containing protein
WBGene00233690	protein_coding	NA
WBGene00233691	protein_coding	NA
WBGene00268314	protein_coding	NA
WBGene00228164	protein_coding	NA
WBGene00228165	protein_coding	NA
WBGene00268315	protein_coding	NA
WBGene00268316	protein_coding	NA
WBGene00268317	protein_coding	NA
WBGene00269621	pseudogene	NA
WBGene00269623	pseudogene	NA
WBGene00269624	pseudogene	NA
WBGene00231828	protein_coding	cytosol aminopeptidase, putative
WBGene00269626	pseudogene	NA
WBGene00269627	pseudogene	NA
WBGene00269628	pseudogene	NA
WBGene00269629	pseudogene	NA
WBGene00268318	protein_coding	NA
WBGene00268319	protein_coding	NA
WBGene00268320	protein_coding	NA
WBGene00268321	protein_coding	NA
WBGene00228539	protein_coding	conserved hypothetical protein
WBGene00228538	protein_coding	conserved hypothetical protein
WBGene00228537	protein_coding	NA
WBGene00268322	protein_coding	NA
WBGene00220626	protein_coding	NA
WBGene00229623	protein_coding	NA
WBGene00268323	transposon_protein_coding	NA
WBGene00268324	protein_coding	NA
WBGene00229861	protein_coding	NA
WBGene00233327	protein_coding	NA
WBGene00230728	protein_coding	NA
WBGene00230729	protein_coding	Armadillo\/beta-catenin-like repeat family protein
WBGene00230730	protein_coding	NA
WBGene00229247	protein_coding	Fork head domain containing protein
WBGene00236153	miRNA	NA
WBGene00229246	protein_coding	NA
WBGene00268325	protein_coding	NA
WBGene00268326	transposon_protein_coding	NA
WBGene00269630	pseudogene	NA
WBGene00269631	pseudogene	NA
WBGene00268327	protein_coding	NA
WBGene00228295	protein_coding	NA
WBGene00220328	protein_coding	NA
WBGene00228296	protein_coding	NA
WBGene00268328	transposon_protein_coding	NA
WBGene00268329	protein_coding	NA
WBGene00269632	pseudogene	NA
WBGene00269633	pseudogene	NA
WBGene00269634	pseudogene	NA
WBGene00269635	pseudogene	NA
WBGene00268330	protein_coding	NA
WBGene00269636	pseudogene	NA
WBGene00268335	protein_coding	NA
WBGene00223488	protein_coding	Mesoderm development candidate, putative
WBGene00228271	protein_coding	NA
WBGene00232598	protein_coding	NA
WBGene00268336	protein_coding	NA
WBGene00268337	protein_coding	NA
WBGene00268338	protein_coding	NA
WBGene00225188	protein_coding	NA
WBGene00220510	protein_coding	NA
WBGene00268339	protein_coding	NA
WBGene00269637	pseudogene	NA
WBGene00268340	protein_coding	NA
WBGene00231707	protein_coding	kinesin light chain, putative
WBGene00269638	pseudogene	NA
WBGene00268341	transposon_protein_coding	NA
WBGene00228032	protein_coding	NA
WBGene00221792	protein_coding	NA
WBGene00221791	protein_coding	conserved hypothetical protein,hypothetical protein
WBGene00231360	protein_coding	NA
WBGene00268342	protein_coding	NA
WBGene00225301	protein_coding	NA
WBGene00269639	pseudogene	NA
WBGene00269640	pseudogene	NA
WBGene00268343	protein_coding	NA
WBGene00269641	pseudogene	NA
WBGene00269642	pseudogene	NA
WBGene00269643	pseudogene	NA
WBGene00269644	pseudogene	NA
WBGene00269645	pseudogene	NA
WBGene00269646	pseudogene	NA
WBGene00269647	pseudogene	NA
WBGene00269648	pseudogene	NA
WBGene00268344	protein_coding	NA
WBGene00269649	pseudogene	NA
WBGene00269650	pseudogene	NA
WBGene00269651	pseudogene	NA
WBGene00269652	pseudogene	NA
WBGene00269653	pseudogene	NA
WBGene00269654	pseudogene	NA
WBGene00269655	pseudogene	NA
WBGene00269656	pseudogene	NA
WBGene00269657	pseudogene	NA
WBGene00269658	pseudogene	NA
WBGene00269659	pseudogene	NA
WBGene00268345	protein_coding	NA
WBGene00269660	pseudogene	NA
WBGene00269661	pseudogene	NA
WBGene00269662	pseudogene	NA
WBGene00228073	protein_coding	NA
WBGene00269663	pseudogene	NA
WBGene00269664	pseudogene	NA
WBGene00268346	protein_coding	NA
WBGene00234588	protein_coding	NA
WBGene00268347	protein_coding	NA
WBGene00268348	protein_coding	NA
WBGene00268349	protein_coding	NA
WBGene00269665	pseudogene	NA
WBGene00269666	pseudogene	NA
WBGene00269667	pseudogene	NA
WBGene00269668	pseudogene	NA
WBGene00268350	protein_coding	NA
WBGene00228530	protein_coding	NA
WBGene00268351	protein_coding	NA
WBGene00221363	protein_coding	NA
WBGene00230148	protein_coding	NA
WBGene00220775	protein_coding	NA
WBGene00231361	protein_coding	NA
WBGene00268352	protein_coding	NA
WBGene00268353	protein_coding	NA
WBGene00268354	protein_coding	NA
WBGene00228499	protein_coding	NA
WBGene00228498	protein_coding	NA
WBGene00232489	protein_coding	NA
WBGene00228497	protein_coding	NA
WBGene00228496	protein_coding	NA
WBGene00268355	transposon_protein_coding	NA
WBGene00268356	protein_coding	NA
